TransactionID,email_domain,IpAddress,PhoneNo,DeviceID
1,hotmail.com,246.191.145.201,593-800-9182,Device2129
2,outlook.com,161.245.212.205,819-213-5117,Device2605
3,gmail.com,220.240.157.141,448-825-5778,Device3933
4,hotmail.com,46.35.253.134,934-665-3953,Device9516
5,hotmail.com,82.115.197.47,909-419-1276,Device6074
6,outlook.com,153.194.10.56,303-293-4735,Device8099
7,gmail.com,30.242.251.109,646-795-5152,Device2490
8,gmail.com,5.119.248.33,833-402-8537,Device1893
9,hotmail.com,118.65.146.224,363-893-5208,Device2390
10,yahoo.com,239.177.11.85,587-426-9733,Device4389
11,hotmail.com,26.63.217.86,746-678-2088,Device5239
12,hotmail.com,59.27.177.205,391-124-7144,Device5479
13,hotmail.com,161.98.105.99,648-240-9068,Device3263
14,hotmail.com,129.149.240.55,287-227-9392,Device4432
15,outlook.com,6.220.209.197,226-356-4747,Device3371
16,gmail.com,95.133.102.3,646-293-4175,Device5312
17,outlook.com,181.23.229.53,634-364-5897,Device2515
18,outlook.com,165.202.202.83,483-359-9605,Device7326
19,outlook.com,145.85.78.201,457-174-4426,Device8088
20,hotmail.com,110.1.51.173,683-870-1187,Device6586
21,yahoo.com,205.4.190.193,784-389-3092,Device3917
22,gmail.com,113.232.32.34,672-182-6242,Device6731
23,yahoo.com,92.95.72.39,457-627-6185,Device8686
24,outlook.com,154.250.162.182,756-474-8913,Device2167
25,outlook.com,118.3.123.50,479-755-8355,Device9302
26,yahoo.com,12.193.54.236,421-549-2497,Device6109
27,yahoo.com,133.222.222.251,112-283-3555,Device5327
28,yahoo.com,57.145.112.47,389-394-3951,Device6810
29,outlook.com,151.207.229.85,314-731-4965,Device4655
30,outlook.com,142.66.75.179,666-126-4701,Device4793
31,gmail.com,103.166.192.252,832-330-2588,Device7738
32,gmail.com,226.38.50.98,906-420-6789,Device2577
33,outlook.com,82.30.79.91,536-880-2556,Device3220
34,yahoo.com,179.191.226.52,502-152-8480,Device2030
35,yahoo.com,249.166.225.216,380-825-1182,Device7691
36,gmail.com,79.252.30.247,122-643-6565,Device4992
37,outlook.com,106.51.81.133,173-109-8651,Device1913
38,gmail.com,29.132.138.184,555-665-9851,Device7358
39,gmail.com,145.74.17.252,259-981-7555,Device3181
40,hotmail.com,84.216.69.34,977-152-7846,Device4197
