TransactionID,ProductCD,TransactionAmt,card_no,card_type,isFraud
1,ProductC,701.18,3863XXXX2177,Visa,0
2,ProductD,540.74,5760XXXX1011,Mastercard,0
3,ProductA,316.43,6252XXXX5399,Mastercard,0
4,ProductC,815.66,9234XXXX6445,Mastercard,0
5,ProductC,687.88,7570XXXX9212,Amex,0
6,ProductD,170.99,1406XXXX5431,Mastercard,0
7,ProductA,911.82,6243XXXX7542,Amex,0
8,ProductA,824.31,7936XXXX9906,Mastercard,0
9,ProductC,950.3,5146XXXX1140,Mastercard,0
10,ProductB,728.46,5882XXXX7012,Visa,0
11,ProductC,617.28,1963XXXX8151,Mastercard,0
12,ProductC,424.06,9564XXXX4610,Mastercard,0
13,ProductC,933.4,7894XXXX8311,Visa,0
14,ProductC,867.4,1105XXXX6539,Amex,0
15,ProductD,54.77,7787XXXX3137,Amex,0
16,ProductA,36.1,5445XXXX4530,Mastercard,0
17,ProductD,382.7,2286XXXX8052,Amex,0
18,ProductD,812.45,4654XXXX8102,Mastercard,0
19,ProductD,987.4,3359XXXX9105,Visa,0
20,ProductC,158.91,9636XXXX7441,Visa,0
21,ProductB,598.19,6047XXXX9227,Mastercard,0
22,ProductA,387.08,6203XXXX2798,Visa,0
23,ProductB,970.22,6291XXXX6495,Visa,0
24,ProductD,843.7,7284XXXX8285,Mastercard,0
25,ProductD,839.95,2300XXXX7869,Mastercard,0
26,ProductB,474.01,4097XXXX5616,Visa,0
27,ProductB,420.67,1009XXXX6752,Amex,0
28,ProductB,280.67,7295XXXX5815,Amex,0
29,ProductD,65.81,2072XXXX4225,Mastercard,0
30,ProductD,866.08,2316XXXX6699,Mastercard,0
31,ProductA,814.77,7807XXXX7674,Amex,0
32,ProductA,999.72,4683XXXX8227,Visa,0
33,ProductD,996.67,4273XXXX8000,Amex,0
34,ProductB,559.88,1145XXXX6010,Amex,0
35,ProductB,771.3,4040XXXX1482,Amex,0
36,ProductA,945.32,4179XXXX2249,Amex,0
37,ProductD,851.15,1630XXXX9853,Mastercard,0
38,ProductA,254.87,3852XXXX1987,Mastercard,0
39,ProductA,456.04,8622XXXX8327,Visa,0
40,ProductC,137.87,9841XXXX2100,Visa,0
41,ProductC,954.51,7652XXXX9632,Visa,0
42,ProductC,610.11,8421XXXX6016,Visa,0
43,ProductB,236.36,1769XXXX2343,Amex,0
44,ProductD,674.98,5358XXXX7780,Mastercard,0
45,ProductD,621.95,7602XXXX3349,Mastercard,0
46,ProductD,364.58,6699XXXX2241,Visa,0
47,ProductD,122.42,2125XXXX7764,Visa,0
48,ProductC,674.86,6101XXXX8843,Amex,0
49,ProductB,525.1,1072XXXX6472,Amex,0
50,ProductB,774.6,6189XXXX3472,Visa,0
51,ProductC,524.96,1707XXXX2804,Mastercard,0
52,ProductB,853.66,7704XXXX4713,Mastercard,0
53,ProductC,556.39,6051XXXX3475,Mastercard,0
54,ProductD,565.33,4610XXXX5255,Visa,0
55,ProductC,877.89,8397XXXX2735,Mastercard,0
